Year,Fuel,Consumption,Sector
2020,Bioenergy & waste,987.235125,Domestic
2020,Petroleum,2549.602519,Domestic
2000,Coal,1227.743506,Industry
2000,Manufactured fuel,753.4489347,Industry
2000,Manufactured fuel,224.9438712,Industry
2000,Manufactured fuel,216.2510748,Industry
2000,Natural gas,15773.08684,Industry
2000,Electricity,9811.951849,Industry
2000,Heat,1099.415907,Industry
2000,Bioenergy & waste,264.06,Industry
2000,Petroleum,6039.473433,Industry
2001,Coal,1194.955108,Industry
2001,Manufactured fuel,718.5917646,Industry
2001,Manufactured fuel,210.29304,Industry
2001,Manufactured fuel,154.2562339,Industry
2001,Natural gas,15463.71453,Industry
2001,Electricity,9573.344798,Industry
2001,Heat,1001.227128,Industry
2001,Bioenergy & waste,243.07,Industry
2001,Petroleum,6611.045663,Industry
2002,Coal,1185.683049,Industry
2002,Manufactured fuel,610.4147006,Industry
2002,Manufactured fuel,169.9778065,Industry
2002,Manufactured fuel,78.18235629,Industry
2002,Natural gas,14201.69142,Industry
2002,Electricity,9472.720828,Industry
2002,Heat,1320.641617,Industry
2002,Bioenergy & waste,250.03,Industry
2002,Petroleum,6248.260687,Industry
2003,Coal,1247.966029,Industry
2003,Manufactured fuel,588.6011583,Industry
2003,Manufactured fuel,165.5705612,Industry
2003,Manufactured fuel,53.1894395,Industry
2003,Natural gas,14292.02486,Industry
2003,Electricity,9396.249143,Industry
2003,Heat,1128.312471,Industry
2003,Bioenergy & waste,266.69,Industry
2003,Petroleum,6899.217664,Industry
2004,Coal,1235.252013,Industry
2004,Manufactured fuel,559.2062944,Industry
2004,Manufactured fuel,180.1646022,Industry
2004,Manufactured fuel,67.49939269,Industry
2004,Natural gas,13237.60039,Industry
2004,Electricity,9584.469053,Industry
2004,Heat,832.3404162,Industry
2004,Bioenergy & waste,265.24,Industry
2004,Petroleum,6918.419749,Industry
2005,Coal,1179.924431,Industry
2005,Manufactured fuel,534.7364359,Industry
2005,Manufactured fuel,170.6952551,Industry
2005,Manufactured fuel,78.51582418,Industry
2005,Natural gas,13021.58249,Industry
2005,Electricity,9976.274514,Industry
2005,Heat,830.5075379,Industry
2005,Bioenergy & waste,200.7608564,Industry
2005,Petroleum,6282.184724,Industry
2006,Coal,1163.648436,Industry
2006,Manufactured fuel,487.6187446,Industry
2006,Manufactured fuel,177.7902996,Industry
2006,Manufactured fuel,106.2372576,Industry
2006,Natural gas,12428.28643,Industry
2006,Electricity,9879.30335,Industry
2006,Heat,808.9329278,Industry
2006,Bioenergy & waste,213.4894665,Industry
2006,Petroleum,6099.351763,Industry
2007,Coal,1268.405292,Industry
2007,Manufactured fuel,513.0506114,Industry
2007,Manufactured fuel,177.0292127,Industry
2007,Manufactured fuel,101.2789069,Industry
2007,Natural gas,11466.07565,Industry
2007,Electricity,9699.010541,Industry
2007,Heat,895.8440378,Industry
2007,Bioenergy & waste,276.3306472,Industry
2007,Petroleum,6095.347115,Industry
2008,Coal,1296.161475,Industry
2008,Manufactured fuel,442.7704421,Industry
2008,Manufactured fuel,173.9185261,Industry
2008,Manufactured fuel,92.10906796,Industry
2008,Natural gas,11029.70744,Industry
2008,Electricity,9815.211275,Industry
2008,Heat,1020.703147,Industry
2008,Bioenergy & waste,414.2445386,Industry
2008,Petroleum,5895.148581,Industry
2009,Coal,1151.758472,Industry
2009,Manufactured fuel,387.271334,Industry
2009,Manufactured fuel,19.74054837,Industry
2009,Manufactured fuel,48.51238265,Industry
2009,Natural gas,9145.624057,Industry
2009,Electricity,8575.923003,Industry
2009,Heat,762.8354635,Industry
2009,Bioenergy & waste,415.0256574,Industry
2009,Petroleum,5151.59137,Industry
2010,Coal,1311.218616,Industry
2010,Manufactured fuel,338.7894643,Industry
2010,Manufactured fuel,17.02499904,Industry
2010,Manufactured fuel,96.58446293,Industry
2010,Natural gas,9395.425209,Industry
2010,Electricity,8988.608537,Industry
2010,Heat,822.1495906,Industry
2010,Bioenergy & waste,471.8981672,Industry
2010,Petroleum,5482.239835,Industry
2011,Coal,1193.615431,Industry
2011,Manufactured fuel,306.2765983,Industry
2011,Manufactured fuel,17.17411673,Industry
2011,Manufactured fuel,59.45510193,Industry
2011,Natural gas,9007.305152,Industry
2011,Electricity,8806.147477,Industry
2011,Heat,769.3515185,Industry
2011,Bioenergy & waste,530.87703,Industry
2011,Petroleum,4499.960761,Industry
2012,Coal,1212.403294,Industry
2012,Manufactured fuel,375.184782,Industry
2012,Manufactured fuel,17.00031727,Industry
2012,Manufactured fuel,43.30489425,Industry
2012,Natural gas,8821.482566,Industry
2012,Electricity,8465.674956,Industry
2012,Heat,757.9172829,Industry
2012,Bioenergy & waste,488.2619511,Industry
2012,Petroleum,4668.652349,Industry
2013,Coal,1555.199305,Industry
2013,Manufactured fuel,504.4599184,Industry
2013,Manufactured fuel,14.93743117,Industry
2013,Manufactured fuel,61.57372107,Industry
2013,Natural gas,9029.652966,Industry
2013,Electricity,8338.848004,Industry
2013,Heat,739.4579536,Industry
2013,Bioenergy & waste,576.9399647,Industry
2013,Petroleum,4055.655041,Industry
2014,Coal,1626.986052,Industry
2014,Manufactured fuel,482.7075127,Industry
2014,Manufactured fuel,14.14825953,Industry
2014,Manufactured fuel,54.98108084,Industry
2014,Natural gas,8653.146699,Industry
2014,Electricity,7996.982346,Industry
2014,Heat,626.8149613,Industry
2014,Bioenergy & waste,594.1050708,Industry
2014,Petroleum,4238.277996,Industry
2015,Coal,1380.17473,Industry
2015,Manufactured fuel,395.4520073,Industry
2015,Manufactured fuel,88.25349452,Industry
2015,Natural gas,8418.036167,Industry
2015,Electricity,7991.261162,Industry
2015,Heat,678.4062182,Industry
2015,Bioenergy & waste,1115.421924,Industry
2015,Petroleum,4211.904721,Industry
2016,Coal,1304.192289,Industry
2016,Manufactured fuel,224.8402862,Industry
2016,Manufactured fuel,66.6042707,Industry
2016,Natural gas,8646.698191,Industry
2016,Electricity,8023.734174,Industry
2016,Heat,666.9620221,Industry
2016,Bioenergy & waste,1194.136495,Industry
2016,Petroleum,2330.526025,Industry
2017,Coal,1124.849875,Industry
2017,Manufactured fuel,210.3337984,Industry
2017,Manufactured fuel,65.00632828,Industry
2017,Natural gas,8862.086079,Industry
2017,Electricity,7937.090031,Industry
2017,Heat,709.0775194,Industry
2017,Bioenergy & waste,1232.858131,Industry
2017,Petroleum,2645.009476,Industry
2018,Coal,1105.034163,Industry
2018,Manufactured fuel,192.9227572,Industry
2018,Manufactured fuel,63.48658865,Industry
2018,Natural gas,8949.827387,Industry
2018,Electricity,8071.479944,Industry
2018,Heat,704.8813609,Industry
2018,Bioenergy & waste,1432.497144,Industry
2018,Petroleum,2589.135292,Industry
2019,Coal,933.6051765,Industry
2019,Manufactured fuel,198.4360562,Industry
2019,Manufactured fuel,68.72149691,Industry
2019,Natural gas,8856.66887,Industry
2019,Electricity,7929.144929,Industry
2019,Heat,682.7825989,Industry
2019,Bioenergy & waste,1491.348476,Industry
2019,Petroleum,2195.332152,Industry
2020,Coal,837.0605364,Industry
2020,Manufactured fuel,207.7373459,Industry
2020,Manufactured fuel,85.93819996,Industry
2020,Natural gas,8126.182317,Industry
2020,Electricity,7195.168505,Industry
2020,Heat,681.7574536,Industry
2020,Bioenergy & waste,1676.286989,Industry
2020,Petroleum,2166.407698,Industry
